Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,Assists,Clearances,Fouls
1444,Peru Nolaskoain,ESP,DF,Athletic Club,La Liga,23,1998,1,1,0,0,0,0,1
1445,Nolito,ESP,MF,Celta Vigo,La Liga,35,1986,30,1297,0.14,1.25,0,0.35,1.46
1446,Arnaud Nordin,FRA,FW-MF,FALSE,Ligue 1,23,1998,33,1784,0.2,2.37,0.2,0.4,0.91
1447,Mathias Normann,NOR,MF,Norwich City,Premier League,25,1996,21,1486,0.06,1.39,0.12,2.42,2.55
1448,Hugo Novoa,ESP,MF-FW,RB Leipzig,Bundesliga,19,2003,7,131,0.67,1.33,0,0,0.67
1449,Soma Novothny,HUN,FW-MF,Bochum,Bundesliga,27,1994,6,80,1.11,3.33,0,1.11,2.22
1450,Jean-Pierre Nsame,CMR,FW,Venezia,Serie A,29,1993,11,245,0,2.22,0.37,0.37,2.22
1451,Randy Ntekja,FRA,FW-MF,Rayo Vallecano,La Liga,24,1997,30,1239,0.22,2.03,0,0.65,2.83
1452,Kasim Nuhu,GHA,DF,Hoffenheim,Bundesliga,26,1995,3,5,0,10,0,10,0
1453,Hans Nunoo Sarpei,GHA,DF-MF,FALSE,Bundesliga,23,1998,8,643,0,0.42,0,4.51,0.99
1454,Bram Nuytinck,NED,DF,Udinese,Serie A,32,1990,24,1826,0,0.44,0,4.83,0.74
1455,Simeon Nwankwo,NGA,FW,Salernitana,Serie A,29,1992,19,842,0.11,2.13,0.11,0.74,1.38
1456,Gerzino Nyamsi,FRA,DF,Strasbourg,Ligue 1,25,1997,31,2714,0,0.89,0.07,3.38,1.06
1457,Allan Nyom,CMR,DF,Getafe,La Liga,33,1988,5,244,0,0,0,2.22,0.37
1458,M'Bala Nzola,ANG,FW,Spezia,Serie A,25,1996,21,1068,0.17,1.85,0.08,1.18,2.77
1459,Adam Obert,SVK,DF,Cagliari,Serie A,19,2002,6,274,0,0,0,3,2
1460,Joel Obi,NGA,MF-DF,Salernitana,Serie A,30,1991,20,1082,0,0.83,0.08,0.67,2.92
1461,Jan Oblak,SVN,GK,FALSE,La Liga,29,1993,34,3060,0,0.03,0,0.03,0
1462,Lucas Ocampos,ARG,FW,Sevilla,La Liga,27,1994,27,2034,0.27,2.21,0.18,1.02,1.95
1463,Bastian Oczipka,GER,DF,Union Berlin,Bundesliga,33,1989,16,753,0,0.48,0.12,1.79,0.83
1464,Brain Oddei,ITA,FW,Sassuolo,Serie A,19,2002,2,8,0,10,0,0,0
1465,Angelo Ogbonna,ITA,DF,West Ham,Premier League,33,1988,11,921,0.1,0.29,0,3.73,0.49
1466,Florent Ogier,FRA,DF,Clermont Foot,Ligue 1,33,1989,28,2249,0.04,0.32,0,4.56,0.72
1467,Stefano Okaka,ITA,FW,Udinese,Serie A,32,1989,2,22,0,5,5,5,10
1468,David Okereke,NGA,FW-MF,Venezia,Serie A,24,1997,30,1962,0.28,1.7,0,0.78,1.19
1469,Masaya Okugawa,JPN,MF-FW,Arminia,Bundesliga,26,1996,31,2365,0.3,1.06,0.04,0.57,0.76
1470,Lucas Olaza,URU,DF,Elche,La Liga,27,1994,3,115,0,0,0,2.31,1.54
1471,Mathias Olesen,LUX,MF,FALSE,Bundesliga,21,2001,3,17,0,0,0,0,0
1472,Michael Olise,FRA,FW-MF,Crystal Palace,Premier League,20,2001,25,1051,0.17,1.45,0.43,0.77,1.45
1473,Christian Oliva,URU,MF,Cagliari,Serie A,25,1996,4,48,0,0,0,0,0
1474,Dani Olmo,ESP,MF,RB Leipzig,Bundesliga,23,1998,17,712,0.38,2.53,0.38,0.13,0.63
1475,Warmed Omari,FRA,DF,Rennes,Ligue 1,22,2000,31,2533,0,0.18,0,3.56,0.85
1476,Jonas Omlin,SUI,GK,Montpellier,Ligue 1,28,1994,28,2497,0,0,0,0.04,0
1477,Andrew Omobamidele,IRL,DF,Norwich City,Premier League,19,2002,5,382,0.24,0.48,0,4.05,1.19
1478,Amadou Onana,BEL,MF,Lille,Ligue 1,20,2001,29,1158,0.08,1.09,0,1.24,2.17
1479,Jean Onana,CMR,MF,Bordeaux,Ligue 1,22,2000,22,1768,0.15,1.07,0.1,1.12,1.89
1480,Karim Onisiwo,AUT,FW,Mainz 05,Bundesliga,30,1992,30,2271,0.2,2.54,0.28,0.2,1.63
1481,Javier Ontiveros,ESP,MF-FW,Osasuna,La Liga,24,1997,3,39,0,5,0,0,2.5
1482,Tyler Onyango,ENG,MF-FW,Everton,Premier League,19,2003,3,28,0,3.33,0,0,3.33
1483,Frank Onyeka,NGA,MF,Brentford,Premier League,24,1998,20,1045,0,1.38,0,1.12,3.71
1484,Willi Orban,HUN,DF,RB Leipzig,Bundesliga,29,1992,28,2462,0.04,0.84,0.04,5.29,0.55
1485,Divock Origi,BEL,FW,Liverpool,Premier League,27,1995,6,107,2.5,8.33,0,0,0.83
1486,Riccardo Orsolini,ITA,FW-DF,Bologna,Serie A,25,1997,27,1638,0.22,2.53,0.16,0.6,0.99
1487,Stefan Ortega,GER,GK,Arminia,Bundesliga,29,1992,31,2790,0,0,0,0.06,0
1488,Pedro Ortiz,ESP,MF,Sevilla,La Liga,21,2000,1,7,0,10,0,10,10
1489,Victor Osimhen,NGA,FW,Napoli,Serie A,23,1998,24,1781,0.66,4.24,0.1,0.81,1.62
1490,Milutin Osmaji?,MNE,FW-MF,FALSE,La Liga,22,1999,10,257,0,1.38,0,1.38,1.03
1491,David Ospina,COL,GK,Napoli,Serie A,33,1988,29,2610,0,0,0,0,0
1492,Patrick Osterhage,GER,MF,Bochum,Bundesliga,22,2000,12,509,0,0.7,0.18,0.35,0.88
1493,Dango Ouattara,BFA,MF-FW,Lorient,Ligue 1,20,2002,22,686,0.13,2.76,0.13,1.45,2.5
1494,Remi Oudin,FRA,MF-FW,Bordeaux,Ligue 1,25,1996,30,1662,0.22,2.92,0.27,0.81,0.76
1495,Alexandre Oukidja,ALG,GK,Metz,Ligue 1,33,1988,21,1875,0,0,0,0,0.05
1496,Azzedine Ounahi,MAR,MF,Angers,Ligue 1,22,2000,29,1576,0.11,1.37,0.06,0.8,1.31
1497,Adam Ounas,ALG,MF-FW,Napoli,Serie A,25,1996,15,326,0,3.61,0,0.56,2.5
1498,Reece Oxford,ENG,DF,Augsburg,Bundesliga,23,1998,28,2513,0.07,0.47,0.04,6.06,0.93
1499,Alex Oxlade-Chamberlain,ENG,MF-FW,Liverpool,Premier League,28,1993,17,785,0.23,2.41,0.11,0.8,1.38
1500,Mikel Oyarzabal,ESP,FW-MF,Real Sociedad,La Liga,25,1997,22,1671,0.48,2.04,0.16,0.81,0.75
1501,Ambroise Oyongo,CMR,DF,Montpellier,Ligue 1,30,1991,9,551,0.16,0.66,0,2.46,1.15
1502,Fernando Pacheco,ESP,GK,FALSE,La Liga,29,1992,31,2783,0,0,0,0.03,0
1503,Jon Pacheco,ESP,DF,Real Sociedad,La Liga,21,2001,9,374,0,0,0,6.19,0.71
1504,Daniele Padelli,ITA,GK,Udinese,Serie A,36,1985,2,180,0,0,0,0,0
1505,Gavi Paez,ESP,MF-FW,Barcelona,La Liga,17,2004,30,1988,0.09,1.31,0.23,0.63,2.67
1506,Vincent Pajot,FRA,MF,Metz,Ligue 1,31,1990,28,2141,0,0.42,0,1.51,2.56
1507,Exequiel Palacios,ARG,MF,Leverkusen,Bundesliga,23,1998,21,980,0.09,0.64,0.09,0.64,1.19
1508,Helibelton Palacios,COL,DF,Elche,La Liga,28,1993,24,1751,0,0.05,0,2.77,1.59
1509,Nicolas Pallois,FRA,DF,Nantes,Ligue 1,34,1987,28,2267,0,0.24,0,4.72,0.79
1510,Cole Palmer,ENG,FW-MF,Manchester City,Premier League,20,2002,4,123,0,2.86,0,0,1.43
1511,Erik Palmer-Brown,USA,DF,Troyes,Ligue 1,25,1997,18,1464,0,0.12,0,4.48,0.8
1512,Emerson Palmieri,ITA,DF,Lyon,Ligue 1,27,1994,27,2163,0.04,0.67,0.08,2.67,0.63
1513,Goran Pandev,MKD,FW-MF,Genoa,Serie A,38,1983,20,843,0,0.74,0.11,0,0.53
1514,Ivor Pandur,CRO,GK,Hellas Verona,Serie A,22,2000,3,270,0,0,0,0,0
1515,Antonios Papadopoulos,GER,DF-MF,Dortmund,Bundesliga,22,1999,2,17,0,0,0,0,5
1516,Matondo-Merveille Papela,GER,MF,Mainz 05,Bundesliga,21,2001,5,83,0,1.11,0,0,2.22
1517,Kevin Paredes,USA,FW-DF,Wolfsburg,Bundesliga,18,2003,2,16,0,0,0,0,5
1518,Leandro Paredes,ARG,MF,Paris S-G,Ligue 1,27,1994,15,838,0.11,0.86,0.22,0.32,1.08
1519,Daniel Parejo,ESP,MF,Villarreal,La Liga,33,1989,29,2344,0.08,0.5,0.23,0.69,0.69
1520,Fabiano Parisi,ITA,DF,Empoli,Serie A,21,2000,22,1293,0,1.04,0.07,1.46,1.67
1521,Thomas Partey,GHA,MF,Arsenal,Premier League,28,1993,24,2028,0.09,1.96,0.04,1.42,1.78
1522,Felix Passlack,GER,DF,Dortmund,Bundesliga,23,1998,9,448,0,0.4,0,2.4,1
1523,Javier Pastore,ARG,MF-FW,Elche,La Liga,32,1989,10,419,0,1.28,0,0.21,1.7
1524,Patric,ESP,DF,Lazio,Serie A,29,1993,22,1469,0,0.25,0.06,3.13,1.41
1525,Paulinho,BRA,FW-MF,Leverkusen,Bundesliga,21,2000,22,1052,0.34,1.97,0.09,0.6,0.77
1526,Gabriel Paulista,BRA,DF,Valencia,La Liga,31,1990,17,1458,0.12,0.37,0.06,6.36,0.62
1527,Benjamin Pavard,FRA,DF,Bayern Munich,Bundesliga,26,1996,24,2005,0,0.81,0.04,2.42,0.81
1528,Strahinja Pavlovi?,SRB,DF,Monaco,Ligue 1,20,2001,7,451,0,1,0,4.6,1.8
1529,Leonardo Pavoletti,ITA,FW,Cagliari,Serie A,33,1988,30,1314,0.34,2.19,0.07,0.55,2.67
1530,Dimitri Payet,FRA,FW-MF,Marseille,Ligue 1,35,1987,31,2592,0.42,2.12,0.35,0.03,0.35
1531,Mads Pedersen,DEN,DF-MF,Augsburg,Bundesliga,25,1996,27,1268,0.14,1.28,0.07,1.35,1.84
1532,Alfonso Pedraza,ESP,DF,Villarreal,La Liga,26,1996,24,1494,0.06,1.08,0.18,1.75,2.05
1533,Pedri,ESP,MF,Barcelona,La Liga,19,2002,12,885,0.31,1.22,0.1,0.41,0.2
1534,Pedro,ESP,FW,Lazio,Serie A,34,1987,30,1951,0.37,1.61,0.14,0.28,1.47
1535,Pedrosa,ESP,DF,Espanyol,La Liga,23,1998,31,2720,0.03,0.83,0.03,2.88,0.66
1536,Gianluca Pegolo,ITA,GK,Sassuolo,Serie A,41,1981,1,90,0,0,0,0,0
1537,Pietro Pellegri,ITA,FW,Torino,Serie A,21,2001,6,168,0.53,2.11,0,2.63,4.21
1538,Lorenzo Pellegrini,ITA,MF,Roma,Serie A,25,1996,25,2044,0.35,3.3,0.09,0.7,2.25
1539,Luca Pellegrini,ITA,DF,Juventus,Serie A,23,1999,17,1078,0,0.5,0.08,1.75,1.83
1540,Facundo Pellistri,URU,MF-FW,FALSE,La Liga,20,2001,21,672,0,0.93,0,0.53,1.33
1541,Federico Peluso,ITA,DF,Sassuolo,Serie A,38,1984,1,2,0,0,0,0,1
1542,Timothee Pembele,FRA,DF,Bordeaux,Ligue 1,19,2002,26,1414,0.06,1.21,0.06,0.96,1.21
